num_syllables,pos,year,fog_index,flesch_index,num_words,num_lines,title,f_k_grade,artist,difficult_words,num_dupes,neg,neu,compound,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,uri,analysis_url,Genre,Gender
189,0.199,1950,5.2,88.74,145,17,Mona Lisa,2.9,Nat King Cole,13,10,0.155,0.646,0.8443,3k5ycyXX5qsCjLd7R2vphp,0.214,0.194,1,-15.636,1,0.0325,0.903,1.38E-06,0.107,0.339,86.198,207573,3,spotify:track:3k5ycyXX5qsCjLd7R2vphp,https://api.spotify.com/v1/audio-analysis/3k5ycyXX5qsCjLd7R2vphp,soul,male
270.9,0.224,1950,4.4,82.31,189,31,I Wanna Be Loved,3.3,Andrews Sisters,40,32,0.036,0.74,0.9897,4UY81WrDU3jTROGaKuz4uZ,0.358,0.085,8,-13.664,1,0.0389,0.939,0,0.16,0.181,170.869,198027,5,spotify:track:4UY81WrDU3jTROGaKuz4uZ,https://api.spotify.com/v1/audio-analysis/4UY81WrDU3jTROGaKuz4uZ,,Group
174.6,0.351,1950,5.2,88.74,138,16,Tennessee Waltz,2.9,Patti Page,5,10,0.053,0.596,0.9948,6DKt9vMnMN0HmlnK3EAHRQ,0.424,0.163,3,-15.899,1,0.0276,0.784,6.71E-04,0.116,0.294,86.335,182733,3,spotify:track:6DKt9vMnMN0HmlnK3EAHRQ,https://api.spotify.com/v1/audio-analysis/6DKt9vMnMN0HmlnK3EAHRQ,jazz,female
135.9,0.231,1950,4.4,99.23,117,18,I'll Never Be Free,0.9,Tennessee Ernie Ford,10,3,0.167,0.602,0.8842,0KnD456yC5JuweN932Ems3,0.697,0.182,7,-12.586,1,0.0357,0.78,0,0.126,0.474,82.184,1.58E+05,3,spotify:track:0KnD456yC5JuweN932Ems3,https://api.spotify.com/v1/audio-analysis/0KnD456yC5JuweN932Ems3,swing,male
46.8,0.079,1950,6,69.79,32,3,All My Love,6,Patti Page,9,0,0.07,0.85,0.0772,05sXHTLqIpwywbpui1JT4o,0.631,0.273,8,-11.538,1,0.0408,0.801,0,0.158,0.633,123.314,190933,4,spotify:track:05sXHTLqIpwywbpui1JT4o,https://api.spotify.com/v1/audio-analysis/05sXHTLqIpwywbpui1JT4o,jazz,female
423,0.182,1950,4.8,106.67,382,54,Hoop-Dee-Doo,0.1,Perry Como,22,22,0.04,0.779,0.9941,12WJhNxX6EYC2rAlfVOW4d,0.645,0.43,1,-11.916,1,0.0444,0.91,0,0.561,0.944,132.643,174040,4,spotify:track:12WJhNxX6EYC2rAlfVOW4d,https://api.spotify.com/v1/audio-analysis/12WJhNxX6EYC2rAlfVOW4d,jazz,male
303.3,0.412,1950,4.4,90.77,239,39,Dear Hearts And Gentle People,2.1,Bing Crosby,12,17,0,0.588,0.999,1srbpc0A9FtPknqHZH0Ecv,0.767,0.288,2,-12.741,1,0.0397,0.91,3.77E-04,0.149,0.722,107.741,160750,3,spotify:track:1srbpc0A9FtPknqHZH0Ecv,https://api.spotify.com/v1/audio-analysis/1srbpc0A9FtPknqHZH0Ecv,swing,male
350.1,0.081,1950,4.8,106.67,306,40,Cry Of The Wild Goose,0.1,Frankie Laine,15,18,0.038,0.881,0.9238,4Gx5Hy6fnfeXcSEnVls6f3,0.637,0.275,0,-12.261,0,0.0386,0.824,0,0.239,0.454,80.044,174813,4,spotify:track:4Gx5Hy6fnfeXcSEnVls6f3,https://api.spotify.com/v1/audio-analysis/4Gx5Hy6fnfeXcSEnVls6f3,,male
100.8,0.133,1951,4.8,106.67,92,13,Too Young,0.1,Nat King Cole,4,5,0,0.867,0.937,44ZAlAAn0bAEzUJgZky04H,0.191,0.202,8,-14.45,1,0.0289,0.923,3.62E-04,0.289,0.181,92.091,205707,1,spotify:track:44ZAlAAn0bAEzUJgZky04H,https://api.spotify.com/v1/audio-analysis/44ZAlAAn0bAEzUJgZky04H,soul,male
131.4,0.33,1951,4.8,89.75,101,13,Because Of You,2.5,Tony Bennett,6,5,0,0.67,0.9904,1hVEHu6SemMvlYAP5MWkDj,0.248,0.22,7,-10.768,0,0.0299,0.94,0.00197,0.109,0.191,71.377,242040,4,spotify:track:1hVEHu6SemMvlYAP5MWkDj,https://api.spotify.com/v1/audio-analysis/1hVEHu6SemMvlYAP5MWkDj,jazz,male
317.7,0.02,1951,5.6,79.26,220,24,Come On-a My House,4.4,Rosemary Clooney,14,15,0,0.98,0.6369,3GVyT9fBXuEkGs1STo2WHZ,0.527,0.633,10,-8.56,0,0.114,0.826,0,0.422,0.961,183.174,116933,4,spotify:track:3GVyT9fBXuEkGs1STo2WHZ,https://api.spotify.com/v1/audio-analysis/3GVyT9fBXuEkGs1STo2WHZ,swing,female
